Player
Jérémy Jacquet
Lee Jae-sung
Ivan Jaime Pajuelo
Kristijan Jakić
Ismail Jakobs
Jordan James
Vitaly Janelt
Luca Jaquez
Mikel Jauregizar
Gaby Jean
Daniel Jebbison
Finn Jeltsch
Malcolm Jeng
Fredrik Jensen
Mathias Jensen
Moritz Jenz
Gabriel Jesus
Juan Jesus
Raúl Jiménez
Kim Jisoo
Þórir Jóhann Helgason
Carl Johansson
Brennan Johnson
Paul Joly
Frenkie de Jong
Joan Jordán
Jorginho
Diogo Jota
Juanpe
Jubal
Anthony Jung
Hamed Junior Traorè
Vinicius Júnior
David Jurásek
Stanko Jurić
James Justin
Mohamed Kaba
Almugera Kabar
Christian Kabasele
Pavel Kadeřábek
Pierre Kalulu
Daichi Kamada
Boubacar Kamara
Glen Kamara
Hassane Kamara
Noham Kamara
Willy Kambwala
Kevin Kampl
Nordine Kandil
Harry Kane
Atakan Karazor
Jesper Karlsson
Jesper Karlström
Mikkel Kaufmann
Joachim Kayi Sanda
Michael Kayode
Moise Kean
Michael Keane
Thilo Kehrer
Mandela Keita
Yannik Keitel
Lloyd Kelly
Aljoscha Kemlein
Marc-Oliver Kempf
Milos Kerkez
Rani Khedira
Abdukodir Khusanov
Kialonda
Kiké
Max Kilman
Joshua Kimmich
Presnel Kimpembe
Joshua King
Cédric Kipré
Jakub Kiwior
Tim Kleindienst
Lukas Klostermann
Justin Kluivert
Magnus Knudsen
Robin Koch
Magnus Kofod Andersen
Koka
Koke
Sead Kolašinac
Randal Kolo Muani
Marco Komenda
Mert Kömür
Ibrahima Konaté
Abdoul Koné
Amadou Koné
Manu Koné
Ezri Konsa
Kacper Koscierski
Odilon Kossounou
Henri Koudossou
Konstantinos Koulierakis
Emmanuel Koum Mbondo
Jules Koundé
Boubakar Kouyaté
Mateo Kovačić
Viktor Kovalenko
Mateusz Kowalski
Goduine Koyalipou
Caleb Kporha
Emil Krafth
Alex Král
Tom Krauß
Ladislav Krejčí
Rasmus Kristensen
Thomas Kristensen
Nikola Krstović
Lukas Kübler
Sael Kumbedi
Marash Kumbulla
Jonah Kusi-Asare
Daler Kuzyaev
Giorgos Kyriakopoulos
Luca de la Torre
Gaëtan Laborde
Alexandre Lacazette
Maxence Lacroix
Yoel Lago
Konrad Laimer
Stefan Lainer
Kenny Lala
Adam Lallana
Mohamed Lamine Bayo
Tariq Lamptey
Cyle Larin
Hugo Larsson
Juanmi Latasa
Toni Lato
Roméo Lavia
Manuel Lazzari
Julien Le Cardinal
Jérémy Le Douaron
Enzo Le Fée
Robin Le Normand
Rafael Leão
Pierre Lees-Melou
Jordan Lefort
Diogo Leite
Maxim Leitsch
Florian Lejeune
Stefan Lekovic
Iñigo Lekue
Nunzio Lella
Thomas Lemar
Clément Lenglet
Giovanni Leoni
Esteban Lepaul
Johann Lepenant
Robert Lewandowski
Myles Lewis-Skelly
Ben Lhassine Kone
Mattia Liberali
Philipp Lienhart
Matthijs de Ligt
Pedro Lima
Victor Lindelöf
Jesper Lindstrøm
Karol Linetty
Pol Lirola
Valentino Livramento
Javier Llabrés
Diego Llorente
Gautier Lloris
Stanislav Lobotka
Manuel Locatelli
Bradley Locko
Ruben Loftus-Cheek
Elysée Logbo
Enzo Loiodice
Sean Longstaff
David López
Javi López
Roberto López
Unai López
Anthony Losilla
Sandi Lovrić
Pol Lozano
Lorenzo Lucca
Jhon Lucumí
Yannik Lührs
José Luis Gayà
José Luis Palomino
Douglas Luiz
Romelu Lukaku
Castello Lukeba
Dodi Lukebakio
Saša Lukić
Daniel Luna
Massimo Luongo
Sebastiano Luperto
Charalambos Lykogiannis
Senne Lynen
Ian Maatsen
Alexis Mac Allister
Lanroy Machine
Yvann Macon
James Maddison
Eros Maddy
Noni Madueke
Pablo Maffeo
Gabriel Magalhães
Soungoutou Magassa
Giangiacomo Magnani
Hugo Magnetti
Harry Maguire
Jon Magunazelaia
Arne Maier
Patrick Mainka
Kobbie Mainoo
Ainsley Maitland-Niles
Lovro Majer
Jordy Makengo
Antoine Makoumbou
Nikola Maksimović
Tyrell Malacia
Jarzinho Malanga
Julián Malatini
Youssef Maleh
Donyell Malen
Lennard Maloney
Aaron Malouda
Hianga Mananga Mbock
Gianluca Mancini
Reinildo Mandava
Aïssa Mandi
Rolando Mandragora
Mateus Mane
Orel Mangala
Javier Manquillo
Alberto Manzoni
Alessandro Marcandalli
Marcão
Filip Marchwiński
Óscar de Marcos
Alberto Marí
Pablo Marí
José María Giménez
Luca Marianucci
Rafa Marín
Pablo Marín
Răzvan Marin
Guillermo Maripán
Mika Mármol
Mario Maroto
Marquinhos
Aarón Martín
Diego Martín
Gerard Martín
Iván Martín
Jon Martin
Jonas Martin
Mario Martín
Iñigo Martínez
Javi Martínez
Lautaro Martínez
Lisandro Martínez
Lucas Martínez Quarta
Ramón Martínez
Toni Martínez
Adam Marušić
Omar Mascarell
Adam Masina
Patrizio Masini
Erhan Mašović
Han-Noah Massengo
Clinton Mata
Igor Matanovic
Pape Matar Sarr
Eliot Matazo
Jean-Philippe Mateta
Nemanja Matić
Rudy Matondo
Chrislain Matsima
Alan Matturro
Azor Matusiwa
Neal Maupay
Maurides
Stephy Mavididi
Konstantinos Mavropanos
Christian Mawissa
Borja Mayoral
Senny Mayulu
Noussair Mazraoui
Luca Mazzitelli
Samuel Mbangula
Kylian Mbappé
Bryan Mbeumo
Kasey McAteer
Oliver McBurnie
Scott McKenna
Mark McKenzie
Scott McTominay
Jakov Medić
Facundo Medina
Ben Mee
Jayden Meghoma
Henrik Meister
Bamo Meïté
Mohamed Meité
Mateo Mejía
Farid El Melali
Arthur Melo
Nuno Mendes
Brais Méndez
Antoine Mendy
Ferland Mendy
Nampalys Mendy
Nobel Mendy
Gideon Mensah
Quentin Merlin
Víctor Meseguer
Rafik Messali
Karol Mets
Thomas Meunier
Shumaira Mheuka
Florian Micheler
Miguel
Georges Mikautadze
Nikola Milenković
Lewis Miley
Éder Militão
Luis Milla
James Milner
Kim Min-jae
Yerry Mina
Lucas Mincarelli
Tyrone Mings
Bojan Miovski
Juan Miranda
Tyrick Mitchell
Maximilian Mittelstädt
Henrikh Mkhitaryan
Jakub Moder
Luka Modrić
Max Moerstedt
Terem Moffi
Mostafa Mohamed
Johan Mojica
Nahuel Molina
Jon Moncayola
Mikey Moore
Morato
Alberto Moreno
Gerard Moreno
Matias Moreno
Xavier Moreno
Mateu Morey
Ilaix Moriba
Manu Morlanes
Nikola Moro
Sam Morsy
Cristhian Mosquera
Daniel Mosquera
Yerson Mosquera
Yael Mouanga
Aimen Moueffek
Mason Mount
Santiago Mouriño
Louis Mouton
Divin Mubama
Mykhailo Mudryk
Ngal'Ayel Mukau
Nordi Mukiele
Abdul Mumin
Rodrigo Muniz
Aihen Muñoz
Álex Muñoz
Daniel Muñoz
Iker Muñoz
Murillo
Vedat Muriqi
Jacob Murphy
Bob Murphy Omoregbe
Jamal Musiala
Almoatasem Al Musrati
Junior Mwanga
Phillipp Mwene
Vitaliy Mykolenko
Joakim Mæhle
Obite N'Dicka
Loïc N'Gatta
Nathan N'Goumou
Djylian N'Guessan
Stanley N'Soki
Mickael Nade
Bilal Nadir
Mahamadou Nagida
Yael Nandjou
Nikolas Nartey
Matija Nastasić
Natan
Pau Navarro
Michel Ndary Adopo
Youssouf Ndayishimiye
Iliman Ndiaye
Junior Ndiaye
Rassoul Ndiaye
Wilfred Ndidi
Wilfried Ndollo
Tanguy Ndombele
Dan Ndoye
Paul Nebel
Kosta Nedeljković
Ivan Nekić
Reiss Nelson
Victor Nelsson
David Nemeth
David Neres
Pedro Neto
Luca Netz
Florian Neuhaus
Yvan Neyou
Cyril Ngonge
Mikayil Ngor Faye
Steve Ngoura
Bernard Nguene
Moussa Niakhate
Abdoulaye Niakhate Ndiaye
Ibrahima Niane
Tanguy Nianzou
Rasmus Nicolaisen
Hans Nicolussi Caviglia
Julian Niehues
Oliver Nielsen
Saúl Ñíguez
Adrian Niño
Christopher Nkunku
Felix Nmecha
Arnaud Nordin
Plamedi Nsingi
Randy Nteka
Darwin Núñez
Unai Núñez
Rabby Nzingoula
M'Bala Nzola
Marwann Nzuzi
Christian Nørgaard
Jake O'Brien
Matt O'Riley
Dara O'Shea
Adam Obert
Chidozie Obi-Martin
Lucas Ocampos
David Odogu
Álvaro Odriozola
Tim Oermann
Chiedozie Ogbene
Ifechukwu Ogbus
Thiago Ojeda
Noah Okafor
Caleb Okoli
Yllan Okou
Joseph Okumu
Aingeru Olabarrieta
Olasagasti
Finn Ole Becker
Brian Oliván
Lucas Oliveira Rosa
Mathías Olivera
Warmed Omari
Becir Omeragic
Andrew Omobamidele
Amadou Onana
Jean Onana
Paul Onuachu
Frank Onyeka
Fredrik Oppegard
Victor Orakpo
Ike Orazi
Willi Orban
Ivan Ordets
Lewis Orford
Aimar Oroz
Riccardo Orsolini
Ángel Ortíz
Gabriel Osho
Yordan Osorio
Patrick Osterhage
William Osula
Jibril Othman
Sebastian Otoa
David Otorbi
Dango Ouattara
Assan Ouedraogo
Zinédine Ould Khaled
Cheick Oumar Conde
Beres Owusu
Elisha Owusu
Mikel Oyarzabal
Daniel Oyegoke
Salih Özcan
Cenk Özkacar
Nico O’Reilly
Jon Pacheco
Willian Pacho
Exequiel Palacios
Tomás Palacios
Marco Palestra
João Palhinha
Nicolas Pallois
Matteo Palma
Emerson Palmieri
Mats Pannewig
Aitor Paredes
Kevin Paredes
Leandro Paredes
Daniel Parejo
Iago Parente
Mario Pašalić
Álvaro Pascual
Patric
Nathan Patterson
Benjamin Pavard
Aleksandar Pavlovic
Strahinja Pavlović
Martín Payero
Mads Pedersen
Marcus Pedersen
Pedri
Kévin Pedro
Adrià Pedrosa
Jordan Pefok
Pejiño
Pietro Pellegri
Lorenzo Pellegrini
Luca Pellegrini
Mateo Pellegrino
Théo Pellenard
Andy Pelmard
Timothee Pembele
Faris Pemi Moumbagna
Andreas Pereira
Pedro Pereira
Ricardo Pereira
Gastón Pereiro
Ayoze Pérez
Kike Pérez
Luis Pérez
Nehuén Pérez
Romain Perraud
Máximo Perrone
Noah Pesch
Matteo Pessina
Andrea Petagna
Léo Pétrot
Valentín Pezzolesi
Kalvin Phillips
Pica
Roberto Piccoli
Benedikt Pichler
Amos Pieper
Nicholas Pierini
Santiago Pierotti
Balthazar Pierret
Andrea Pinamonti
Ethan Pinnock
Nicola Pintus
Niccolò Pisilli
Tommaso Pobega
Joel Pohjanpalo
Alfie Pond
Marin Pongračić
Pedro Porro
Stefan Posch
Beñat Prados
Alexander Prass
Matteo Prati
Grischa Prömel
Ivan Prtajin
Tymoteusz Puchacz
Diego Pugno
Jarell Quansah
Leopold Querfeld
Adrien Rabiot
Hamza Rafia
Antonio Raillo
Ylber Ramadani
Jacobo Ramón
Gonçalo Ramos
Luca Ranieri
Grant Ranos
Andrei Ratiu
David Raum
Harrison Reed
Remy Rees-Dottin
Sergio Reguilón
Tijjani Reijnders
Vitor Reis
Rocco Reitz
Nicolai Remberg
Devyne Rensch
Daniel Requena
Mateo Retegui
Elvis Rexhbeçaj
Gio Reyna
